Name,BSE Code,NSE Code,Industry
Ideaforge Tech,543932,IDEAFORGE,Engineering
IFB Industries,505726,IFBIND,Domestic Appliances
IFCI,500106,IFCI,Finance - Term-Lending Institutions
IFGL Refractori.,540774,IFGLEXPOR,Refractories / Intermediates
Igarashi Motors,517380,IGARASHI,Electric Equipment
IIFL Capital,542773,IIFLCAPS,Finance & Investments
Imagica. Enter.,539056,IMAGICAA,Recreation / Amusement Parks
Indegene,544172,INDGN,Miscellaneous
India Cements,530005,INDIACEM,Cement - South India
India Glycols,500201,INDIAGLYCO,Breweries & Distilleries
India Motor Part,590065,IMPAL,Auto Ancillaries
India Nipp.Elec.,532240,INDNIPPON,Auto Ancillaries
India Pesticides,543311,IPL,Pesticides / Agrochemicals - Indian
India Power Corp,,DPSCLTD,Power Generation And Supply
INDIA SHELTE FIN,544044,INDIASHLTR,Finance - Housing
Indiamart Inter.,542726,INDIAMART,Miscellaneous
Indian Energy Ex,540750,IEX,Miscellaneous
Indian Hotels Co,500850,INDHOTEL,Hotels
Indian Hume Pipe,504741,INDIANHUME,Construction
Indian Metals,533047,IMFA,Mining / Minerals / Metals
Indigo Paints,543258,INDIGOPNTS,Paints / Varnishes
Indo Amines,524648,INDOAMIN,Chemicals
Indo Count Inds.,521016,ICIL,Textiles - Cotton/Blended
Indo Tech.Trans.,532717,INDOTECH,Electric Equipment
Indrapr.Medical,532150,INDRAMEDCO,Healthcare
Indraprastha Gas,532514,IGL,Miscellaneous
Indus Towers,534816,INDUSTOWER,Transmisson Line Towers / Equipment
Infibeam Avenues,539807,INFIBEAM,Computers - Software - Medium / Small
Info Edg.(India),532777,NAUKRI,Miscellaneous
InfoBeans Tech.,543644,INFOBEAN,Computers - Software - Medium / Small
Infosys,500209,INFY,Computers - Software - Large
Ingersoll-Rand,500210,INGERRAND,Compressors / Drilling Equipment
Innova Captab,544067,INNOVACAP,Pharmaceuticals - Indian - Bulk Drugs & Formln
Inox Green,543667,INOXGREEN,Miscellaneous
Inox India,544046,INOXINDIA,Packaging
Inox Wind,539083,INOXWIND,Electric Equipment
Inox Wind Energy,543297,IWEL,Power Generation And Supply
Insecticid.India,532851,INSECTICID,Pesticides / Agrochemicals - Indian
Insolation Ener,543620,,Electric Equipment
Intellect Design,538835,INTELLECT,Computers - Software - Medium / Small
Interarch Build.,544232,INTERARCH,Steel - Medium / Small
IOL Chemicals,524164,IOLCP,Pharmaceuticals - Indian - Bulk Drugs & Formln
ION Exchange,500214,IONEXCHANG,Engineering - Turnkey Services
Ipca Labs.,524494,IPCALAB,Pharmaceuticals - Indian - Bulk Drugs & Formln
IRB Infra.Devl.,532947,IRB,Construction
IRB InvIT Fund,540526,IRBINVIT,Construction
Ircon Intl.,541956,IRCON,Construction
